ID ,question,answer
112,a yearold woman presents with complaints of retrosternal burning associated with eating it has persisted for the past several years but has been getting worse her past medical history is unknown and this is her first time seeing a doctor she states she is otherwise healthy and review of systems is notable for episodic hand pain that is worse in the winter as well as a chronic and severe cough with dyspnea which she attributes to her smoking her temperature is f c blood pressure is  mmhg pulse is min respirations are min and oxygen saturation is  on room air physical exam is notable for a young appearing woman with coarse breath sounds laboratory studies and urinalysis are ordered and currently pending which of the following is the pathophysiology of this patients chief complaint,esophageal fibrosis
113,a yearold man with chronic kidney disease comes to the physician because of worsening fatigue and shortness of breath on exertion for  months he has a year history of poorlycontrolled type  diabetes mellitus current medications include metformin and insulin his pulse is min examination shows conjunctival pallor and bounding pulses laboratory studies shownhemoglobin  gdlnmean corpuscular volume  mnreticulocyte count nserumnferritin  ngmlnurea nitrogen  mgdlncreatinine  mgdlnthe patient is prescribed a drug to treat the cause of his current symptoms the drugs mechanism of action directly involves which of the following signaling pathways,jakstat
114,a yearold man presents to the emergency department with a hour history of muscle cramping decreased appetite and diarrhea he says that these symptoms came on rapidly but does not recall anything that may have triggered the episode he has never experienced these symptoms before his past medical history is significant for obesity sleep apnea and type  diabetes that is well controlled on metformin he also has gastroesophageal reflux disease for which he occasionally takes antacids on presentation he is found to have fast shallow breathing and abdominal pain that is poorly localized basic labs as well as an arterial blood gas are obtained and the results are shown belownnna  meqlncl  meqlnhco  meqlnph npco  mmhgnnwhich of the following is the most likely cause of the changes seen in this patients labs,metformin
115,a scientist is studying the properties of myosinactin interactions in a sample of human muscle tissue she has identified a drug that selectively inhibits phosphate release by the myosin head if she gives this drug to a sample of human muscle tissue under physiologic conditions which of the following steps in crossbridge cycling will most likely be blocked,power stroke
116,a yearold boy with a seizure disorder and cognitive delay is brought to the physician because of progressively worsening right lower extremity weakness for the past  months he does not make eye contact and sits very close to his mother physical examination shows a grade  holosystolic murmur at the cardiac apex neurological examination shows decreased strength in the right lower leg with normal strength in the other extremities fundoscopic examination shows several multinodular calcified lesions in the retina bilaterally a photograph of his skin findings is shown this patients condition is most likely due to a mutation in which of the following,tsc gene on chromosome
117,a yearold man presents to the emergency department with abdominal pain nausea and vomiting he endorses diffuse abdominal tenderness his past medical history is notable for diabetic nephropathy hypertension dyslipidemia depression and morbid obesity he also is currently being treated for an outbreak of genital herpes his temperature is f c blood pressure is  mmhg pulse is min respirations are min and oxygen saturation is  on room air physical exam is notable for an obese man in no acute distress a ct scan of the abdomen with contrast is performed and is unremarkable the patient is admitted to the observation unit for monitoring of his pain notably the patients abdominal pain improves after an enema and multiple bowel movements the patients evening laboratory values are ordered and return as seen belownnserumnna  meqlncl  meqlnk  meqlnhco  meqlnbun  mgdlnglucose  mgdlncreatinine  mgdlnnwhich of the following is the most likely etiology of this patients laboratory derangements,metformin
118,a yearold man comes to the clinic for a checkup he presents with a year history of worsening shortness of breath and weight loss he is a former construction worker and worked in a steel mill when he was in high school he is an active smoker with a packyear smoking history the blood pressure is  mm hg pulse rate is min respiratory rate is min and the bmi is  kgm the patient is afebrile and the oxygen saturation at rest is  on room air the pulmonary examination reveals a mildly prolonged expiratory phase and no wheezing or crackles are auscultated a pulmonary function test is recommended for the patient and  weeks later he returns with a report that shows an fevfvc ratio of  and fev of  of the predicted value the lung volumes show a total lung capacity of  of predicted value a residual volume of  of predicted value and a dlco of  of predicted value which of the following is the most likely diagnosis,chronic obstructive pulmonary disease
119,a yearold zookeeper presents to the office complaining of a dry cough fever and chills for the past month he states that the symptoms come in episodes at the end of the workday and last a few hours he also mentions that he is fatigued all the time his job includes taking care of various types of birds he is otherwise fine and denies recent travel or trauma medical history is unremarkable and he does not take any medications he does not smoke cigarettes or drinks alcohol allergies include peanuts dust and pollen childhood asthma runs in the family chest xray reveals diffuse haziness in both lower lung fields a ppd skin test is negative what is the most appropriate treatment for this patient,avoid exposure to birds
120,a yearold female presents to her gynecologist with vaginal bleeding she underwent menopause ten years prior she has a past medical history of hypertension and diabetes mellitus on physical examination her uterus is uniformly enlarged ultrasound reveals a thickened endometrial stripe and tissue biopsy reveals neoplastic endometrial cells a workup for metastatic disease is negative and the gynecologist recommends a laparoscopic hysterectomy during the procedure the surgeon ligates multiple vessels in order to remove the entire uterus in the immediate postoperative period the patient develops leftsided flank pain and oliguria serum creatinine is found to be  mgdl whereas it was  mgdl prior to the operation renal ultrasound is normal urinalysis is notable for hematuria ligation of which of the following vessels most likely contributed to this patients condition,uterine artery
121,a yearold man presents to the physician with progressive weight loss for the last  months he also says he frequently sweats profusely at night and has a recurring lowgrade fever for which he takes acetaminophen the patient denies any symptoms like cough breathlessness or gastrointestinal symptoms his temperature is c  f pulse is min blood pressure is  mm hg and respiratory rate is min on physical examination he has generalized pallor bilateral cervical lymphadenopathy is present examination of his abdomen reveals nontender hepatosplenomegaly in the right upper quadrant laboratory evaluation confirms the diagnosis of hodgkins lymphoma which of the following viral infections is most likely to have played a role in the pathogenesis of this patients malignancy,epsteinbarr virus
122,a yearold gravida  at  weeks gestation is evaluated for an abnormal ultrasound that showed fetal microcephaly early in the st trimester she had fevers and headaches for  week she also experienced myalgias arthralgias and a pruritic maculopapular rash the symptoms resolved without any medications a week prior to her symptoms she had traveled to brazil where she spent most of the evenings hiking she did not use any mosquito repellents there is no personal or family history of chronic or congenital diseases medications include iron supplementation and a multivitamin she received all of the recommended childhood vaccinations she does not drink alcohol or smoke cigarettes the igm and igg titers for toxoplasmosis were negative which of the following is the most likely etiologic agent,zika virus
123,a yearold gp woman presents with a sudden onset throbbing headache tinnitus nausea and leftsided weakness patient has no significant past medical history and takes no medications  her last two pregnancies ended with spontaneous abortions before the th week of gestation no significant family history her vital signs include blood pressure  mm hg pulse min respiratory rate min and temperature   gcs is  physical examination shows  deep tendon reflexes and increased muscle tone in the left upper and lower extremities laboratory findings are significant for the followingnplatelet count mmnfibrinogen  glnactivated partial thromboplastin time   snthrombin time  sn a noncontrast ct of the head is performed and shown in the picture which of the following would be the next best diagnostic step in this patient,mixing study
124,a obstetrician is working in a developing country to help promote maternal health and fetal well being while there he delivers a baby who he suspects has congenital hypothyroidism most likely caused by inadequate maternal iodine intake which of the following signs and symptoms would not be expected to be observed in this child,diarrhea
125,a yearold nurse is referred to an infectious disease specialist after she exhibited a ppd skin test with  mm of induration she denies any cough shortness of breath hemoptysis weight loss fatigue fevers or night sweats over the last several months her temperature is f c blood pressure is  mmhg pulse is min respirations are min and oxygen saturation is  on room air an initial chest radiograph is unremarkable which of the following is the most appropriate management of this patient,isoniazid
126,an yearold woman is brought to the emergency room by her son after witnessing the patient fall and hit her head the son reports that the patient was in her usual state of health until she complained of chest palpitations this startled her while she was climbing down the stairs and lead to a fall past medical history is significant for hypertension and atrial fibrillation medications are lisinopril metoprolol and warfarin temperature is f c blood pressure is  mmhg pulse is min respirations are min and pulse oximetry is  on room air on physical examination she is disoriented and at times difficult to arouse the left pupil is  mm and nonreactive to light and the right pupil is  mm and reactive to light a rightsided visual field defect is appreciated on visual field testing there is  strength on the right upper and lower extremity as well as  strength in the left upper and lower extremity a computerized tomography ct scan of the head is shown which of the following most likely explains this patients symptoms,herniation of the uncus
127,a yearold man with peripheral neuropathy comes to the physician for a followup examination after the results of serum protein electrophoresis showed monoclonal gammopathy a complete blood count serum creatinine and serum electrolyte concentrations are within the reference ranges a bone marrow biopsy shows  monoclonal plasma cells further analysis shows that class i major histocompatibility molecules are downregulated in these monoclonal plasma cells the proliferation of these monoclonal plasma cells is normally prevented by a class of immune cells that lyse abnormal cells without the need for opsonization priming or prior activation which of the following best describes this class of immune cells,natural killer cells
128,a yearold woman comes to the physician because of progressive muscle weakness for five months she feels that the muscles in her shoulders and hips have been getting weaker and sometimes feel sore she now has difficulty getting up from chairs climbing stairs and combing her hair she has also noticed new difficulty with swallowing solid foods but has no trouble with liquids she has a year history of hyperlipidemia controlled with fluvastatin her maternal uncle died at age  from duchennes muscular dystrophy and her mother has hashimotos thyroiditis vital signs are within normal limits neurologic examination shows moderate weakness in the arm abductors and hip flexors bilaterally deep tendon reflexes are  bilaterally laboratory studies shownhemoglobin  gdlnleukocytes mmnerythrocyte sedimentation rate  mmhnserumncreatine kinase  ulnlactate dehydrogenase  ulnast  ulnalt  ulnwhich of the following is most likely to confirm the diagnosis,intrafascicular infiltration on muscle biopsy
129,a yearold man presents to the emergency room with sudden onset of blurry vision one hour ago he states that he was resting at home when he noticed he had difficulty reading currently he is also starting to see double and is seeing two images on top of each other earlier today he felt ill with nausea vomiting and watery diarrhea which he attributed to food he had eaten at a picnic the day before when asked which foods he ate he lists potato salad a hamburger deviled eggs and pickles made by his neighbor he also heard that his friend who went to the picnic with him has developed similar symptoms and was seen in another hospital earlier while in the emergency room the patients temperature is f c pulse is min blood pressure is  mmhg and respirations are min cranial nerve exam is notable for fixed pupillary dilation and difficulty depressing both eyes the remainder of his exam is normal which of the following is the pathogenesis of this patients presentation,decreased acetylcholine release
130,a weekold female newborn is brought to the physician because of increasing yellowing of her eyes and skin for  weeks the mother has noticed that the girls stools have become pale over the past week she was breastfed since birth but her parents switched her to formula feeds recently after reading on the internet that breastfeeding could be the cause of her current symptoms the patient was delivered vaginally at  weeks gestation pregnancy and delivery were uncomplicated she appears healthy vital signs are within normal limits she is at the th percentile for length and at the th percentile for weight examination shows scleral icterus and jaundice the liver is palpated  cm below the right costal margin cardiopulmonary examination shows no abnormalities neurologic examination shows no focal findings serum studies shownbilirubinntotal  mgdlndirect  mgdlnalkaline phosphatase  ulnast  ulnalt  ulnglutamyl transferase  ulnblood group a positivenwhich of the following is the most likely diagnosis,biliary atresia
131,a yearold man comes to the emergency department with nausea abdominal discomfort diarrhea and progressive perioral numbness for the past  hours  days ago he underwent a total thyroidectomy for treatment of papillary thyroid cancer his only medication is a multivitamin supplement he appears fatigued while measuring the patients blood pressure the nurse observes a spasm in the patients hand physical examination shows a wellhealing surgical wound on the neck which of the following ecg findings are most likely in this patient,qt prolongation
132,a yearold woman presents with left lower quadrant pain that worsens with defecation she describes the pain as crampy she also says she has suffered from mild constipation for the past few years the patient denies any recent weight change or urinary symptoms her last menstrual period was  years ago her body temperature is c f pulse is min respiratory rate is min and blood pressure is  mm hg on physical examination tenderness to palpation in the left lower quadrant is present the laboratory studies are presented as followsnhemoglobin  mgdlnhematocrit nleukocyte count mmnneutrophils nbands neosinophils nbasophils nlymphocytes nmonocytes nplatelet count mmnwhich of the following is the most likely diagnosis in this patient,diverticulitis
133,a yearold man presents to his primary care physician for erectile dysfunction he states that for the past month he has been unable to engage in sexual intercourse with his wife despite having appropriate sexual desire he also endorses deep and burning buttock and hip pain when walking which is relieved by rest the patient states that he does not have erections at night or in the morning his past medical history is notable for diabetes coronary artery disease and hypertension and he has a  packyear smoking history physical exam is notable for weak lower extremity and femoral pulses which of the following is the most specific etiology of this patients symptoms,aortoiliac atherosclerosis
134,a yearold man with a history of chronic glomerulonephritis due to iga nephropathy presents to your office with bone pain which of the following laboratory findings would you most expect upon analysis of this patients serum,increased pth decreased calcium increased phosphate decreased calcitriol
135,a medical researcher is studying the physiology of the immune system in order to better understand the effects of hiv on patients he isolates a group of cells that are shown by flow cytometry to be positive for the cell surface marker cd he then mixes this cell population with a group of infected cells crosslinks extracellular interactions and immunoprecipitates the cd protein he identifies a protein bound to cd that is composed of two chains from an adjacent cell which of the following best describes the primary function of the protein that was most likely identified,binds endogenous peptides that have been transported by the tap channel
136,a yearold caucasian male presents to your office with chest pain he states that he is worried about his heart as his father died at age  from a heart attack he reports that his chest pain worsens with large meals and spicy foods and improves with calcium carbonate he denies dyspnea on exertion and an ecg is normal what is the most likely cause of this patients pain,gastroesophageal junction incompetence
137,a yearold woman comes to the clinic because of tearing and a foreign body sensation in her eyes bilaterally which has gradually worsened over the last several weeks she also notes having occasional palpitations nervousness sweating and heat intolerance her past medical history is unremarkable she reports a packyear smoking history and is currently a daily smoker physical examination shows an anxious trembling woman she has eyelid retraction bilaterally with an inability to fully close her eyes her extraocular motility is limited on upgaze there is no thyromegaly and no thyroid nodules are noted laboratory studies reveal a thyroidstimulating hormone level of  uml and total t of  gdl thyroidstimulating immunoglobulin is positive ct scan of the orbits shows proptosis and marked enlargement of the extraocular muscle with sparing of the tendons which of the following would most likely transiently worsen this patients eye symptoms,treatment with radioactive iodine
138,a yearold boy is brought to a pediatrician by his parents for evaluation of frequent bed wetting during the night a detailed history reveals that there has been no history of urinary incontinence during the day since the boy was  years of age but that he has never been dry at night continuously for  week there is no history of urinary tract infections urgency frequency or hesitancy on physical examination the boys vital signs are stable his neurologic and abdominal examinations are completely normal his laboratory investigations are as followsnurinespecific gravity firstmorning sample nurine red blood cells absentnurine pus cells absentnurine culture negativenwhich of the following is the next step in the management of this patient,reassuring the parents and use of an enuresis alarm
139,a yearold man with a history of gastric cancer that was treated with subtotal gastrectomy dies in a motor vehicle collision at autopsy examination of the spinal cord shows unilateral atrophy of the neurons in the area indicated by the arrow neurological examination of the patient when he was still alive would most likely have shown which of the following findings,decreased positional sense in the ipsilateral leg
140,a yearold pregnant woman at  weeks gestation presents to the emergency department with complaints of fever with chills and pain in her knee and ankle joints for the past  days she also complains of headaches and difficulty moving her neck further questioning reveals that she had a tick bite on her arm while gardening a few days ago past medical history is noncontributory she takes a multivitamin with iron and folate every day and has been receiving regular prenatal care and the pregnancy is progressing normally on examination an erythematous rash is seen on her right arm as shown in the accompanying photograph her obstetric examination is normal ultrasound of the fetus is reassuring with a normal heartbeat and no gross abnormalities a specimen is collected to test for lyme disease what is the next best step for this patient,amoxicilin
141,a yearold woman presents to her physician with a four month history of fatigue and weakness the weakness has been progressive to the point where she cannot climb stairs and stand from a sitting position she has only had one menstrual period in the last four months and has never been pregnant she smokes a pack of cigarettes every day and does not take any medications her temperature is f c blood pressure is  mmhg pulse is min and respirations are min she is obese with a significant pannus abdominal striae are present her laboratory workup is notable for the followingnnserumnna  meqlncl  meqlnk  meqlnhco  meqlnbun  mgdlnglucose  mgdlncreatinine  mgdlnca  mgdlnast  ulnalt  ulnhour urinary cortisol  g   gnserum cortisol  gml  gdlnserum adrenocorticotropinreleasing hormone acth  pgml   pgmlnna hour high dose dexamethasone suppression trial shows that her serum cortisol levels do not decrease what is the best next step in management,mri of the adrenal glands
142,a yearwoman with nonhodgkin lymphoma comes to the physician because of progressively increasing numbness and tingling in her fingers and toes her last cycle of chemotherapy with vincristine was  week ago physical examination shows decreased sensation to light touch in all distal extremities knee and ankle deep tendon reflexes are decreased which of the following is the most likely underlying mechanism of this patients peripheral neuropathy,inhibition of betatubulin polymerization
143,a yearold man comes to the physician with a week history of painless hematuria a ct scan of the urinary tract shows areas of bladder wall thickening cystoscopy shows several sessile masses with central necrosis arising from the bladder wall a biopsy specimen of the bladder masses shows moderately differentiated urothelial cells with abundant mitotic figures and nuclear atypia the patient most likely has a history of exposure to which of the following,aromatic amines
144,a yearold girl comes to the physician with her father for evaluation of her short stature she feels well overall but is concerned because all of her friends are taller than her her birth weight was normal her father reports he had a short stature during his teenage years he is currently  cm  ft  in tall she is at the ndpercentile for height and th percentile for weight breast development is tanner stage  pubic and axillary hair is absent an xray of the left hand and wrist shows a bone age of  years which of the following is the most appropriate next best step in management,reassurance and followup
145,a yearold boy is brought to the physician because of facial swelling that started  days ago two weeks ago he had a sore throat that resolved spontaneously his temperature is c f pulse is min and blood pressure is  mm hg examination shows pitting edema of the upper and lower extremities as well as periorbital edema the abdomen is mildly distended laboratory studies shownhemoglobin  gdlnserumnalbumin  gdlntotal cholesterol  mgdlntriglycerides  mgdlnurinenblood negativenglucose negativenprotein nleukocyte esterase negativena renal biopsy of this patient is most likely to show which of the following findings,normal light microscopy findings
146,a yearold man is referred to a dermatologist by his family physician for management of a rare case of dermatitis that has not responded to standard therapy with corticosteroids the patients medical history is unremarkable and he is currently working reduced hours at his job as an accountant physical examination reveals confluent scaly patches plaques and generalized erythroderma along the torso and lower extremities see image there is also a solid skin lesion with a diameter greater than  cm the dermatologist suspects a malignancy and orders a biopsy which of the following is the most accurate description of this condition,tumor arising from cutaneous t cells
147,a yearold woman comes to the physician because she has been feeling very stressed over the past several months during this period she has found it difficult to relax she states that her head is full of worries she works at an accountants office and reports difficulty in concentrating on her work she has been working longer shifts because one of her coworkers is on vacation and reports feeling more tired than usual she is married and frequently fights with her husband the patient states that in order to deal with her stress she goes shopping while shopping she steals small trivial items and feels immediately relieved thereafter she discards the objects she steals and has feelings of shame and guilt about her actions her husband is concerned about her behavior but she is unable to stop shoplifting her vital signs are within normal limits on mental status examination she is oriented to person place and time she reports feeling anxious physical examination shows no abnormalities which of the following is the most appropriate next step in management,cognitive behavioral therapy
148,a yearold man presents to his primary care physician for a change in his behavior over the past few months initially the patient was noted to be behaving inappropriately including using foul language and grabbing people unexpectedly this has progressed to a worsening of his memory and trouble caring for himself his temperature is f c blood pressure is  mmhg pulse is min respirations are min and oxygen saturation is  on room air physical exam is notable for an elderly man who laughs inappropriately at times and who is a poor historian when he is engaged in conversation he exhibits word finding difficulty and is rather inattentive which of the following is the most likely diagnosis,frontotemporal dementia
149,an monthold boy is brought to the clinic by his mother for a rash on his trunk which he has had for the past  days she notes that he is eating less and is more cranky than usual his birth history is insignificant and his immunizations are up to date vital signs include temperature is c f pulse is min and respiratory rate is min the rash features thinwalled fluidfilled blisters that rupture easily fluid samples from the lesions are sent for analysis to a microbiology lab the results reveal an infection by the grampositive bacterium staphylococcus aureus the patient is diagnosed with staphylococcal scalded skin syndrome which of the following is involved with the primary defense in response to the bacteria and toxins produced by this organism,immunoglobulin igm
150,a yearold man is brought to the emergency department with dry cough shortness of breath and lowgrade fever that began  days ago he also reports that he has had  episodes of watery diarrhea per day for the last  days he appears slightly pale his temperature is c f pulse is min respirations are min and blood pressure is  mm hg diffuse crackles are heard over bibasilar lung fields laboratory studies shownhemoglobin  gdlnleukocyte count mmnplatelet count mmnserumnna  meqlncln meqlnk  meqlnhco  meqlnurea nitrogen  mgdlncreatinine  mgdlnan xray of the chest shows patchy infiltrates in both lungs which of the following is the most appropriate pharmacotherapy,levofloxacin
151,a transvaginal ultrasound shows an intrauterine heteroechoic mass with numerous anechoic spaces and no identifiable fetus or amniotic fluid both the ovaries are enlarged and have multiple thinwalled septated cysts with clear content which of the following is the most likely cause of the ovarian findings,theca leutein cysts
152,a yearold woman is brought to the emergency department by her son because of a day history of fever headache malaise and dry cough the patient lives with her son and his family and her son reports that other members of the family have had similar symptoms during the past week but that he has not had any symptoms the result of a polymerase chain reaction test confirms that the woman is infected with a virus that has a helical capsid and a segmented genome which of the following is the most likely explanation for the son being free of symptoms,serum antibodies against hemagglutinin
153,a yearold man comes to the physician for a routine visit his psychiatric history is significant for major depression with psychotic features he was diagnosed after his wife died from pancreatic cancer four years earlier three years ago he deliberately overdosed on sleeping pills today he feels well but still wakes up frequently at night and cannot sleep through the night he lives alone in his apartment and has no children he does not possess a firearm at home but has access to weapons at a local hunting club the patient currently denies suicidal thoughts or thoughts of selfharm he takes sertraline and olanzapine he does not smoke or drink alcohol which of the following is the strongest risk factor for suicide in this patient,previous suicide attempt
154,a yearold boy is brought to the physician because of a generalized rash for  days during this period he has had severe itching and was not able to sleep well he has also had fever headache and some muscle pain five days ago he had a runny nose which subsided with overthecounter medications he returned from a camping trip  week ago he attends a daycare center the patient is at the th percentile for height and at the th percentile for weight his temperature is c f pulse is min and blood pressure is  mm hg examination of the skin shows several macules papules and crusted lesions over his face trunk and extremities there are a few fluidfilled vesicles over his abdomen and back there is no cervical lymphadenopathy the remainder of the examination shows no abnormalities which of the following is the most likely diagnosis,chickenpox
155,a yearold man is brought to the emergency department by ambulance because of unusual behavior that started  hours ago while he was at a party he has a history of major depressive disorder and seasonal allergies his mother has a history of anxiety he drinks  beers on the weekends current medications include amitriptyline and diphenhydramine the patient does not respond to questions and repeatedly says the government is following me everywhere his temperature is c f pulse is min respirations are min and blood pressure is  mm hg he is diaphoretic he is not oriented to place or time neurologic examination shows dilated pupils bilaterally and diffuse hyperreflexia his feet are cold and capillary refill time is  seconds after the examination the patient starts screaming and tries to bite the physician urine toxicology screening is positive for ethyl glucuronide which of the following is the most likely explanation for this patients symptoms,synthetic cathinone intoxication
156,a yearold male presents to the emergency room complaining of neck stiffness he reports that his neck started locking three hours ago he is now unable to move it his past medical history is notable for schizophrenia and asthma and he currently takes albuterol as well as another medication whose name he does not remember his temperature is f c blood pressure is  mmhg pulse is min and respirations are min on physical examination the patient appears anxious and diaphoretic he speaks in full sentences and is oriented to person place and time the patients neck is flexed and rotated to the right approximately  degrees the right sternocleidomastoid and trapezius are firm and contracted extraocular movements are full and intact upon further questioning he reports that he took more medication four hours ago because he was hearing voices which of the following should most likely be administered to this patient,benztropine
157,a monthold boy is brought to the physician for a wellchild examination physical examination shows hepatosplenomegaly a venous blood sample obtained for routine screening tests is milky after refrigeration a creamy supernatant layer appears on top of the sample genetic analysis shows a mutation in the apolipoprotein cii gene apoc on chromosome  this patient is at greatest risk for developing which of the following complications,acute pancreatitis
158,a yearold man comes to the emergency department with nausea abdominal discomfort and diarrhea for the past  days his abdominal discomfort is worse shortly after meals he has also had progressive perioral numbness and upperextremity muscle cramping for the past  hours six months ago he underwent a rouxeny gastric bypass to treat obesity he underwent a total thyroidectomy to treat a hurthle cell lesion  days ago his mother died of lung cancer at age  he has smoked  pack of cigarettes daily for  years his only current medication is a multivitamin supplement he appears fatigued his temperature is c f pulse is min respirations are min and blood pressure is  mm hg while measuring the patients blood pressure the nurse observes spasm of the patients hand physical examination shows a wellhealing surgical wound on the neck the abdomen is mildly tender to palpation with wellhealed laparoscopic incisional sites the remainder of the examination shows no abnormalities serum studies shownna  meqlnk  meqlncl  meqlnhco  meqlnmg  meqlnphosphorus  mgdlnhydroxyvitamin d  ngml n  ngmlnparathyroid hormone  pgmlntotal bilirubin serum  mgdlnalanine aminotransferase serum  ulnaspartate aminotransferase serum  ulnalkaline phosphatase serum  ulnwhich of the following is the most appropriate initial step in the management of this patient,administer calcium gluconate
159,a yearold boy is brought to a physician by his mother for evaluation of generalized weakness increased urination and increased thirst the mother mentions that her boy is always tired and seems to be getting worse he prefers watching television rather than going out and playing with other kids furthermore he has had frequent episodes of constipation since birth except for frequent cravings for salty foods the boy eats a regular diet the patient was delivered healthy and is fully immunized the medical history is unremarkable and he takes no medications he has no siblings his father is a banker and his mother is a librarian the pulse is min the blood pressure is  mm hg and the respiratory rate is min he is in the bottom th percentile for height and weight according to his age the remainder of the physical examination is unremarkable he recently had a urinalysis that showed elevated urinary calcium excretionnadditional lab testing results are as followsnserum electrolytesnsodium  meqlnpotassium  meqlnchloride  meqlnplasma renin activity  ngmlhr normal  ngmlhrnplasma aldosterone concentration  ngdl normal  ngdlnwhat is the most likely diagnosis,bartters syndrome
160,a yearold boy of african descent is presented to the emergency department by his parents the child is clutching his abdomen and crying about pain in his belly his mother reports intermittent episodes of jaundice with joint and bone pain since he was  months old at presentation the patients vital signs are within normal limits physical examination reveals slight jaundice and pale conjunctiva the spleen is tender and easily palpable after a complete blood count with differential and an abdominal ultrasound the patient is found to have sicklecell disease with splenic infarct a partial splenectomy is performed after the operation the physician provides vaccines against neisseria meningitidis haemophilus influenzae and streptococcus pneumoniae the picture shows a slide obtained from the resected portion of the patients spleen dysfunction of the zone marked with which number predisposes the patient to the aforementioned infections, and
161,a yearold woman presents to her primary care physician complaining of months of dry mouth and dry eyes she says the dryness has become so severe that she has difficulty swallowing food she has a history of hypertension for which she takes hydrochlorothiazide hctz but she has no other medical problems family history is significant for her grandmother having systemic lupus erythematosus the vital signs include blood pressure  mm hg heart rate min and respiratory rate min on physical exam she has tender parotid glands bilaterally and dries mucous membranes the presence of serum antiro and antila autoantibodies is confirmed at high titers in addition to her primary diagnosis which of the following is this patient most at risk for developing in the future,nonhodgkin lymphoma
162,a yearold man presents to his primary care provider with fatigue a progressively worsening cough with flecks of blood shortness of breath and dark urine he reports feeling ill for the past  weeks past medical history is significant for hypertension and hyperlipidemia he takes chlorthalidone and atorvastatin family history is noncontributory he has smoked  cigarettes daily for the past  years antiglomerular basement membrane serologies are positive which of the following is a specific feature for this patients condition,linear igg staining on immunofluorescence
163,a yearold man with hiv infection is brought to the emergency department by his roommate because of a week history of progressively worsening headache and vomiting current medications include trimethoprimsulfamethoxazole dolutegravir and tenofoviremtricitabine his temperature is c f physical examination shows nuchal rigidity kernig and brudzinski signs are present a lumbar puncture is performed and shows an opening pressure of  cm ho n   the pathogen isolated from the cerebrospinal fluid csf can be cultured on sabouraud agar further evaluation of this patients csf is most likely to show which of the following additional findings,positive latex agglutination test
164,a yearold woman comes to the physician for the evaluation of back pain for the past six days she has had a burning pain in her upper right back and chest she cannot recall any recent injury and has no prior history of back pain she has a history of hypertension and gastroesophageal reflux the patient volunteers at an animal shelter three times a week she does not smoke or drink alcohol current medications include ramipril and pantoprazole the patient appears healthy and well nourished her temperature is c f pulse is min and blood pressure is  mm hg examination shows a long erythematous rash covered with multiple clear vesicles and crusty lesions extending from her back to below her right breast which of the following is the most likely underlying mechanism of the disease,viral reactivation in dorsal root ganglia
165,a type of fatal adrenal cancer has an average survival rate of  years after the onset of clinically significant symptoms it is determined that patients have a year asymptomatic period prior to developing clinical symptoms from this adrenal cancer a new screening test is developed and the cancer can now be detected  years prior to developing clinical symptoms a new observational casecontrol study of screened and unscreened patients measures the median year survival of patients who decline medical and surgical treatment the screened population has statistically better outcomes which step should be undertaken to prevent bias in these conclusions,using mortality rates in the analysis
166,a yearold man presents to the office for shortness of breath the shortness of breath started a year ago and is exacerbated by physical activity he has been working in the glass manufacturing industry for  years his vital signs include heart rate min respiratory rate min and blood pressure  mm hg on physical exam there are diminished respiratory sounds on both sides on the chest radiograph interstitial fibrosis with reticulonodular infiltrate is found on both sides and there is also an eggshell calcification of multiple adenopathies what is the most likely diagnosis,silicosis
167,a yearold woman is brought to the emergency department by her brother for severe chest pain the patient recently lost her husband in a car accident and is still extremely shocked by the event on physical examination her blood pressure is  mm hg the heart rate is min and regular breathing rate is min and the pulse oximetry is  an s heart sound and rales in the lower right and left lung lobes are heard a lead ecg shows no significant findings echocardiography shows an enlarged left ventricle and left atrium the patient is stabilized and informed about the diagnosis and possible treatment options which of the following is the most likely diagnosis,takotsubo cardiomyopathy
168,a yearold man is brought to the emergency department he was found unconscious on the street the staff recognizes him as a local homeless man with a long history of alcoholism at the hospital his pulse is min the blood pressure is  mm hg the respirations are min and the oxygen saturation is  on room air on physical exam the unconscious man is covered in bloody vomit with small clots and food particles he smells of alcohol a digital exam reveals black tarry stool in the rectal vault the patient is given oxygen iv fluids and an ngtube is placed and set to intermittent suction labs are sent and the patient is prepared for a procedure which of the following is the most appropriate next step in his management,undergo upper gi endoscopy
169,an yearold girl comes to the physician because of a day history of hematuria two weeks ago she had a sore throat that resolved without treatment physical examination shows  pitting edema of the lower legs and ankles urinalysis shows numerous rbcs and  proteinuria her antistreptolysin o titer is elevated formation of which of the following is most likely involved in the underlying mechanism of this patients symptoms,antigenantibody complexes
170,a yearold man presents to the emergency department with altered mental status he was found down in the middle of the street his past medical history is unknown his temperature is f c blood pressure is  mmhg pulse is min respirations are min and oxygen saturation is  on room air the patient is being resuscitated in the trauma bay which of the following was most likely to be found on exam,miosis
